timestamp_utc,ME,NH,VT,CT,RI,SEMA,WCMA,NEMA_BOST
2026-07-18 00:00:00,1560.5355833333333,1473.2059166666668,663.2506666666667,4280.405166666666,1215.4218333333333,2210.480916666667,2138.237583333333,3347.88775
2026-07-18 01:00:00,1501.7715833333332,1392.8583333333333,646.2433333333333,4043.09975,1157.4788333333333,2093.2124166666667,2054.2726666666667,3203.8065833333335
2026-07-18 02:00:00,1402.7466666666667,1275.4869166666667,612.707,3708.73425,1069.3094166666667,1917.3333333333333,1900.9788333333333,2996.4728333333333
2026-07-18 03:00:00,1294.3345,1157.2709166666666,556.2996666666667,3380.0014166666665,977.3650000000001,1729.3471666666667,1754.1364999999998,2804.0646666666667
2026-07-18 04:00:00,1219.5163333333333,1074.7375833333333,535.9538333333334,3119.3259999999996,907.3180833333332,1565.8142500000001,1642.8298333333332,2641.486
2026-07-18 05:00:00,1163.0359166666667,1016.1173333333332,510.7075,2901.2960000000003,851.1135,1465.6612499999999,1552.3800833333335,2507.227083333333
2026-07-18 06:00:00,1127.68375,980.4104166666666,500.4481666666666,2753.138666666667,809.6543333333333,1393.0514166666665,1491.29325,2403.0655
2026-07-18 07:00:00,1107.6623333333334,959.3060833333334,488.51849999999996,2644.6455,784.28875,1345.9115833333333,1466.84325,2339.634583333333
2026-07-18 08:00:00,1109.93625,959.6052500000001,496.88899999999995,2602.07425,773.0385,1333.3929166666667,1452.6095833333331,2317.668833333333
2026-07-18 09:00:00,1113.3945,980.25825,494.9551666666666,2610.553,776.3672499999999,1330.7924166666667,1454.0428333333332,2336.5378333333333
2026-07-18 10:00:00,1100.0384999999999,1019.3946666666667,513.3434166666667,2683.0984166666667,768.0474166666667,1326.7370833333334,1415.6319166666665,2403.606416666667
2026-07-18 11:00:00,1108.772,1077.74775,516.0088333333333,2834.32275,771.2420833333334,1328.77275,1375.4527500000002,2513.0999166666666
2026-07-18 12:00:00,1122.6833333333334,1139.2611666666667,533.7576666666666,2999.298666666667,769.9140833333335,1302.2508333333333,1303.3675833333334,2642.2871666666665
2026-07-18 13:00:00,1100.1728333333333,1194.07375,492.63916666666665,3184.022833333334,771.8603333333334,1303.8374166666667,1217.5455833333333,2787.485
